iter	Passed	Remaining
424	1372	1857
425	1375	1852
426	1377	1848
427	1380	1844
428	1382	1840
429	1385	1836
430	1387	1832
431	1390	1828
432	1394	1825
433	1397	1822
434	1399	1818
435	1402	1814
436	1407	1813
437	1409	1809
438	1412	1804
439	1414	1800
440	1417	1796
441	1419	1792
442	1422	1788
443	1425	1785
444	1429	1782
445	1432	1779
446	1437	1778
447	1441	1775
448	1444	1772
449	1448	1770
450	1452	1768
451	1456	1766
452	1460	1763
453	1466	1764
454	1471	1762
455	1475	1760
456	1478	1757
457	1482	1754
458	1486	1751
459	1490	1749
460	1493	1746
461	1497	1744
462	1500	1740
463	1504	1737
464	1507	1734
465	1511	1732
466	1514	1729
467	1518	1726
468	1521	1723
469	1525	1720
470	1529	1718
471	1533	1715
472	1537	1712
473	1541	1710
474	1551	1714
475	1557	1714
476	1561	1712
477	1566	1710
478	1570	1708
479	1576	1707
480	1581	1706
481	1590	1709
482	1594	1706
483	1599	1704
484	1603	1702
485	1607	1700
486	1611	1697
487	1616	1695
488	1619	1692
489	1622	1688
490	1625	1685
491	1628	1681
492	1631	1678
493	1634	1674
494	1637	1670
495	1640	1666
496	1643	1663
497	1646	1659
498	1649	1655
499	1652	1652
500	1655	1648
501	1658	1645
502	1661	1641
503	1664	1638
504	1667	1634
505	1670	1630
506	1673	1627
507	1676	1623
508	1679	1620
509	1682	1616
510	1685	1613
511	1688	1609
512	1692	1606
513	1695	1602
514	1700	1601
515	1704	1599
516	1708	1595
517	1713	1594
518	1717	1591
519	1721	1588
520	1723	1584
521	1726	1581
522	1729	1577
523	1732	1573
524	1736	1571
525	1740	1568
526	1744	1565
527	1747	1562
528	1751	1559
529	1757	1558
530	1760	1555
531	1763	1551
532	1769	1550
533	1772	1546
534	1775	1543
535	1778	1539
536	1785	1539
537	1788	1535
538	1791	1532
539	1795	1529
540	1800	1527
541	1804	1524
542	1809	1522
543	1815	1522
544	1819	1519
545	1824	1516
546	1828	1513
547	1831	1510
548	1834	1507
549	1837	1503
550	1840	1500
551	1843	1496
552	1846	1492
553	1850	1489
554	1853	1486
555	1857	1482
556	1863	1481
557	1868	1479
558	1871	1476
559	1874	1472
560	1877	1468
561	1879	1465
562	1882	1461
563	1886	1458
564	1889	1454
565	1891	1450
566	1895	1447
567	1898	1443
568	1900	1439
569	1903	1436
570	1907	1432
571	1910	1429
572	1913	1425
573	1917	1422
574	1920	1419
575	1924	1416
576	1928	1413
577	1932	1410
578	1938	1409
579	1942	1406
580	1950	1406
581	1955	1404
582	1960	1401
583	1966	1400
584	1971	1398
585	1977	1397
586	1982	1394
587	1985	1391
588	1993	1390
589	1997	1387
590	2006	1388
591	2012	1386
592	2016	1384
593	2019	1380
594	2022	1376
595	2025	1373
596	2028	1369
597	2031	1365
598	2035	1362
599	2038	1359
600	2041	1355
601	2046	1352
602	2049	1349
603	2052	1345
604	2056	1342
605	2060	1339
606	2063	1336
607	2067	1332
608	2069	1328
609	2073	1325
610	2076	1322
611	2079	1318
612	2082	1314
613	2085	1311
614	2088	1307
615	2091	1303
616	2093	1299
617	2096	1295
618	2099	1292
619	2103	1289
620	2106	1285
621	2109	1281
622	2112	1278
623	2115	1274
624	2119	1271
625	2122	1267
626	2127	1265
627	2131	1262
628	2136	1260
629	2148	1261
630	2158	1262
631	2161	1258
632	2164	1255
633	2167	1251
634	2171	1248
635	2174	1244
636	2179	1242
637	2184	1239
638	2188	1236
639	2191	1232
640	2195	1229
641	2198	1225
642	2202	1222
643	2205	1219
644	2208	1215
645	2212	1212
646	2214	1208
647	2217	1204
648	2220	1200
649	2223	1197
650	2226	1193
651	2229	1189
652	2232	1186
653	2236	1182
654	2238	1179
655	2241	1175
656	2244	1171
657	2247	1168
658	2251	1164
659	2253	1161
660	2256	1157
661	2259	1153
662	2263	1150
663	2266	1147
664	2269	1143
665	2272	1139
666	2275	1136
667	2278	1132
668	2281	1128
669	2285	1125
670	2289	1122
671	2294	1119
672	2297	1116
673	2301	1113
674	2305	1110
675	2310	1107
676	2313	1103
677	2317	1100
678	2322	1097
679	2326	1094
680	2329	1091
681	2332	1087
682	2336	1084
683	2341	1081
684	2345	1078
685	2353	1077
686	2356	1073
687	2360	1070
688	2364	1067
689	2369	1064
690	2372	1061
691	2376	1057
692	2379	1053
693	2382	1050
694	2385	1047
695	2388	1043
696	2392	1040
697	2395	1036
698	2399	1033
699	2402	1029
700	2406	1026
701	2409	1022
702	2412	1019
703	2416	1015
704	2419	1012
705	2422	1008
706	2425	1005
707	2428	1001
708	2432	998
709	2435	994
710	2438	991
711	2442	988
712	2446	984
713	2449	981
714	2452	977
715	2456	974
716	2459	970
717	2462	967
718	2473	966
719	2476	963
720	2479	959
721	2482	955
722	2487	952
723	2490	949
724	2494	946
725	2500	943
726	2503	940
727	2506	936
728	2509	933
729	2512	929
730	2516	925
731	2519	922
732	2521	918
733	2524	914
734	2527	911
735	2530	907
736	2534	904
737	2537	900
738	2540	897
739	2544	894
740	2548	890
741	2551	887
742	2553	883
743	2556	879
744	2560	876
745	2564	873
746	2566	869
747	2570	865
748	2573	862
749	2577	859
750	2580	855
751	2583	852
752	2586	848
753	2589	845
754	2593	841
755	2597	838
756	2601	834
757	2604	831
758	2608	828
759	2612	824
760	2615	821
761	2618	817
762	2622	814
763	2625	811
764	2628	807
765	2631	804
766	2635	800
767	2638	797
768	2641	793
769	2644	789
770	2648	786
771	2654	783
772	2657	780
773	2660	776
774	2664	773
775	2667	770
776	2670	766
777	2673	762
778	2676	759
779	2679	755
780	2682	752
781	2686	748
782	2689	745
783	2694	742
784	2697	738
785	2700	735
786	2704	731
787	2708	728
788	2711	725
789	2715	721
790	2718	718
791	2721	714
792	2726	711
793	2728	708
794	2731	704
795	2735	700
796	2738	697
797	2741	693
798	2744	690
799	2748	687
800	2751	683
801	2755	680
802	2758	676
803	2761	673
804	2765	669
805	2769	666
806	2772	663
807	2775	659
808	2777	655
809	2780	652
810	2783	648
811	2786	645
812	2789	641
813	2792	637
814	2794	634
815	2797	630
816	2800	627
817	2803	623
818	2806	620
819	2808	616
820	2811	613
821	2815	609
822	2819	606
823	2823	602
824	2826	599
825	2830	596
826	2834	593
827	2838	589
828	2842	586
829	2847	583
830	2850	579
831	2854	576
832	2858	573
833	2862	569
834	2866	566
835	2870	563
836	2875	560
837	2879	556
838	2882	553
839	2886	549
840	2890	546
841	2893	543
842	2897	539
843	2901	536
844	2905	532
845	2908	529
846	2912	526
847	2916	522
848	2920	519
849	2924	516
850	2927	512
851	2932	509
852	2935	505
853	2939	502
854	2942	499
855	2947	495
856	2950	492
857	2954	488
858	2957	485
859	2961	482
860	2964	478
861	2968	475
862	2971	471
863	2974	468
864	2978	464
865	2981	461
866	2985	457
867	2988	454
868	2991	451
869	2995	447
870	2998	444
871	3002	440
872	3005	437
873	3009	433
874	3013	430
875	3016	426
876	3019	423
877	3023	420
878	3026	416
879	3029	413
880	3032	409
881	3035	406
882	3039	402
883	3042	399
884	3046	395
885	3049	392
886	3052	388
887	3056	385
888	3059	381
889	3062	378
890	3067	375
891	3070	371
892	3073	368
893	3076	364
894	3079	361
895	3082	357
896	3085	354
897	3088	350
898	3091	347
899	3094	343
900	3097	340
901	3101	336
902	3104	333
903	3106	329
904	3110	326
905	3113	323
906	3117	319
907	3120	316
908	3124	312
909	3127	309
910	3130	305
911	3133	302
912	3136	298
913	3139	295
914	3142	291
915	3145	288
916	3147	284
917	3150	281
918	3153	277
919	3155	274
920	3158	270
921	3161	267
922	3164	263
923	3167	260
924	3170	257
925	3173	253
926	3176	250
927	3178	246
928	3182	243
929	3184	239
930	3187	236
931	3190	232
932	3193	229
933	3196	225
934	3199	222
935	3201	218
936	3204	215
937	3207	212
938	3210	208
939	3212	205
940	3216	201
941	3219	198
942	3221	194
943	3224	191
944	3227	187
945	3230	184
946	3233	180
947	3236	177
948	3239	174
949	3242	170
950	3245	167
951	3248	163
952	3251	160
953	3254	156
954	3256	153
955	3259	150
956	3262	146
957	3265	143
958	3267	139
959	3270	136
960	3272	132
961	3275	129
962	3278	125
963	3281	122
964	3283	119
965	3286	115
966	3290	112
967	3293	108
968	3295	105
969	3297	101
970	3300	98
971	3302	95
972	3305	91
973	3308	88
974	3310	84
975	3313	81
976	3315	78
977	3318	74
978	3320	71
979	3323	67
980	3326	64
981	3328	61
982	3331	57
983	3334	54
984	3337	50
985	3340	47
986	3343	44
987	3345	40
988	3348	37
989	3351	33
990	3353	30
991	3355	27
992	3358	23
993	3360	20
994	3364	16
995	3366	13
996	3369	10
997	3371	6
998	3373	3
999	3375	0
